id, artist, album, label, year
1,Miles Davis, Kind of Blue, Columbia, 1959
2,John Coltrane, A Love Supreme, Impulse!, 1964
3,Ornette Coleman, The Shape of Jazz to Come, Atlantic, 1959
4,Bill Evans Trio, Sunday at the Village Vanguard, Riverside, 1961
5,Sonny Rollins, Saxophone Colossus, Prestige, 1956
6,Thelonious Monk, Brilliant Corners, Riverside, 1956
7,Charles Mingus, Mingus Ah Um, Columbia, 1959
8,Charlie Parker, Bird: The Complete Original Master Takes. The Savoy Recordings, Savoy Jazz, 1945
9,Miles Davis, Bitches Brew, Columbia, 1969
10,Keith Jarrett, The Köln Concert, ECM, 1975
11,John Coltrane, Giant Steps, Atlantic, 1959
12,Eric Dolphy, Out to Lunch!, Blue Note, 1964
13,Louis Armstrong, The Complete Hot Fives and Hot Seven Recordings, Columbia, 1925
14,Duke Ellington, The Blanton-Webster Band, RCA Bluebird, 1940
15,Mahavishnu Orchestra, The Inner Mounting Flame, Columbia, 1971
16,Albert Ayler, Spiritual Unity, ESP-Disk, 1964
17,Herbie Hancock, Head Hunters, Columbia, 1973
18,Dave Brubeck, Time Out, Columbia, 1959
19,Ornette Coleman, Free Jazz, Atlantic, 1960
20,Weather Report, Heavy Weather, Columbia, 1976
21,Ahmad Jamal, At the Pershing: But Not for Me, Argo, 1958
22,Jelly Roll Morton, Volume 1, JSP, 1926
23,Frank Sinatra, Songs for Swingin’ Lovers, Capitol, 1955
24,Wes Montgomery, The Incredible Jazz Guitar of Wes Montgomery, Riverside, 1960
25,Modern Jazz Quartet, Fontessa, Atlantic, 1956
26,Bud Powell, The Genius of Bud Powell, Clef/Verve, 1951
27,Cecil Taylor, At the Café Montmartre, Debut, 1962
28,Art Blakey, Moanin’, Blue Note, 1958
29,Herbie Hancock, Maiden Voyage, Blue Note, 1965
30,Stan Getz/João Gilberto, Getz/Gilberto, Verve, 1965
31,Pat Metheny, Bright Size Life, ECM, 1976
32,Jimmy Smith, A New Sound... A New Star..., Blue Note, 1956
33,Jan Garbarek, Afric Pepperbird, ECM, 1970
34,Woody Herman, The Thundering Herds, Columbia, 1945
35,Duke Ellington, Ellington at Newport, Columbia, 1956
36,Ella Fitzgerald, Ella Fitzgerald Sings the Cole Porter Songbook, Verve, 1956
37,Charles Mingus, The Black Saint and the Sinner Lady, Impulse!, 1963
38,Cannonball Adderley, Somethin’ Else, Blue Note, 1959
39,Tony Williams Lifetime, Emergency!, Polydor, 1969
40,Billie Holiday, Billie Holiday at JATP, Clef/Verve, 1945
41,Chick Corea, Return to Forever, ECM, 1971
42,Stan Getz, Focus, Verve, 1961
43,Miles Davis, Sketches of Spain, Columbia, 1960
44,George Russell, The Jazz Workshop, RCA Victor, 1956
45,John Coltrane, Impressions, Impulse!, 1961
46,Andrew Hill, Point of Departure, Blue Note, 1964
47,Sonny Rollins, The Bridge, RCA Victor, 1962
48,Sun Ra, The Heliocentric Worlds of Sun Ra Volume 1, ESP-Disk, 1965
49,Dizzy Gillespie, Shaw ’Nuff, Musicraft, 1945
